#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 9925478, SEN S/N: 9925478)",Coupler Detached (LGR S/N: 9925478),Coupler Attached (LGR S/N: 9925478),Host Connected (LGR S/N: 9925478),Stopped (LGR S/N: 9925478),End Of File (LGR S/N: 9925478)
271,6/2/17 15:49,11.175,,,,,
272,6/2/17 16:49,11.516,,,,,
273,6/2/17 17:49,11.54,,,,,
274,6/2/17 18:49,11.248,,,,,
275,6/2/17 19:49,11.078,,,,,
276,6/2/17 20:49,10.98,,,,,
277,6/2/17 21:49,10.907,,,,,
278,6/2/17 22:49,10.614,,,,,
279,6/2/17 23:49,10.369,,,,,
280,6/3/17 0:49,10.051,,,,,
281,6/3/17 1:49,9.657,,,,,
282,6/3/17 2:49,9.312,,,,,
283,6/3/17 3:49,8.99,,,,,
284,6/3/17 4:49,8.693,,,,,
285,6/3/17 5:49,8.394,,,,,
286,6/3/17 6:49,8.27,,,,,
287,6/3/17 7:49,8.419,,,,,
288,6/3/17 8:49,8.469,,,,,
289,6/3/17 9:49,8.841,,,,,
290,6/3/17 10:49,9.312,,,,,
291,6/3/17 11:49,10.001,,,,,
292,6/3/17 12:49,11.029,,,,,
293,6/3/17 13:49,11.637,,,,,
294,6/3/17 14:49,11.759,,,,,
295,6/3/17 15:49,12.171,,,,,
296,6/3/17 16:49,12.654,,,,,
297,6/3/17 17:49,12.582,,,,,
298,6/3/17 18:49,12.171,,,,,
299,6/3/17 19:49,12.001,,,,,
300,6/3/17 20:49,11.589,,,,,
301,6/3/17 21:49,11.2,,,,,
302,6/3/17 22:49,10.907,,,,,
303,6/3/17 23:49,10.614,,,,,
304,6/4/17 0:49,10.345,,,,,
305,6/4/17 1:49,10.001,,,,,
306,6/4/17 2:49,9.509,,,,,
307,6/4/17 3:49,8.99,,,,,
308,6/4/17 4:49,8.593,,,,,
309,6/4/17 5:49,8.344,,,,,
310,6/4/17 6:49,8.295,,,,,
311,6/4/17 7:49,8.319,,,,,
312,6/4/17 8:49,8.469,,,,,
313,6/4/17 9:49,8.767,,,,,
314,6/4/17 10:49,9.213,,,,,
315,6/4/17 11:49,9.952,,,,,
316,6/4/17 12:49,10.785,,,,,
317,6/4/17 13:49,11.686,,,,,
318,6/4/17 14:49,12.316,,,,,
319,6/4/17 15:49,12.944,,,,,
320,6/4/17 16:49,13.738,,,,,
321,6/4/17 17:49,13.786,,,,,
322,6/4/17 18:49,13.497,,,,,
323,6/4/17 19:49,13.209,,,,,
324,6/4/17 20:49,13.161,,,,,
325,6/4/17 21:49,12.92,,,,,
326,6/4/17 22:49,12.654,,,,,
327,6/4/17 23:49,12.268,,,,,
328,6/5/17 0:49,11.88,,,,,
329,6/5/17 1:49,11.394,,,,,
330,6/5/17 2:49,10.932,,,,,
331,6/5/17 3:49,10.492,,,,,
332,6/5/17 4:49,10.124,,,,,
333,6/5/17 5:49,9.829,,,,,
334,6/5/17 6:49,9.682,,,,,
335,6/5/17 7:49,9.632,,,,,
336,6/5/17 8:49,9.657,,,,,
337,6/5/17 9:49,9.805,,,,,
338,6/5/17 10:49,10.075,,,,,
339,6/5/17 11:49,10.541,,,,,
340,6/5/17 12:49,10.956,,,,,
341,6/5/17 13:49,11.516,,,,,
342,6/5/17 14:49,11.856,,,,,
343,6/5/17 15:49,12.268,,,,,
344,6/5/17 16:49,13.233,,,,,
345,6/5/17 17:49,13.473,,,,,
346,6/5/17 18:49,12.678,,,,,
347,6/5/17 19:49,12.558,,,,,
348,6/5/17 20:49,12.606,,,,,
349,6/5/17 21:49,12.171,,,,,
350,6/5/17 22:49,11.856,,,,,
351,6/5/17 23:49,11.443,,,,,
352,6/6/17 0:49,11.029,,,,,
353,6/6/17 1:49,10.663,,,,,
354,6/6/17 2:49,10.418,,,,,
355,6/6/17 3:49,10.124,,,,,
356,6/6/17 4:49,9.682,,,,,
357,6/6/17 5:49,9.188,,,,,
358,6/6/17 6:49,8.916,,,,,
359,6/6/17 7:49,8.866,,,,,
360,6/6/17 8:49,8.965,,,,,
361,6/6/17 9:49,9.238,,,,,
362,6/6/17 10:49,9.706,,,,,
363,6/6/17 11:49,10.271,,,,,
364,6/6/17 12:49,10.81,,,,,
365,6/6/17 13:49,11.54,,,,,
366,6/6/17 14:49,12.05,,,,,
367,6/6/17 15:49,12.703,,,,,
368,6/6/17 16:49,13.497,,,,,
369,6/6/17 17:49,13.546,,,,,
370,6/6/17 18:49,13.738,,,,,
371,6/6/17 19:49,13.618,,,,,
372,6/6/17 20:49,13.209,,,,,
373,6/6/17 21:49,12.654,,,,,
374,6/6/17 22:49,12.316,,,,,
375,6/6/17 23:49,11.88,,,,,
376,6/7/17 0:49,11.516,,,,,
377,6/7/17 1:49,11.078,,,,,
378,6/7/17 2:49,10.59,,,,,
379,6/7/17 3:49,10.222,,,,,
380,6/7/17 4:49,9.928,,,,,
381,6/7/17 5:49,9.682,,,,,
382,6/7/17 6:49,9.682,,,,,
383,6/7/17 7:49,9.731,,,,,
384,6/7/17 8:49,9.854,,,,,
385,6/7/17 9:49,10.051,,,,,
386,6/7/17 10:49,10.712,,,,,
387,6/7/17 11:49,11.443,,,,,
388,6/7/17 12:49,12.001,,,,,
389,6/7/17 13:49,12.775,,,,,
390,6/7/17 14:49,13.738,,,,,
391,6/7/17 15:49,14.098,,,,,
392,6/7/17 16:49,13.882,,,,,
393,6/7/17 17:49,13.882,,,,,
394,6/7/17 18:49,13.834,,,,,
395,6/7/17 19:49,13.522,,,,,
396,6/7/17 20:49,13.281,,,,,
397,6/7/17 21:49,12.92,,,,,
398,6/7/17 22:49,12.847,,,,,
399,6/7/17 23:49,12.654,,,,,
400,6/8/17 0:49,12.364,,,,,
401,6/8/17 1:49,12.05,,,,,
402,6/8/17 2:49,11.71,,,,,
403,6/8/17 3:49,11.297,,,,,
404,6/8/17 4:49,11.005,,,,,
405,6/8/17 5:49,10.761,,,,,
406,6/8/17 6:49,10.712,,,,,
407,6/8/17 7:49,10.712,,,,,
408,6/8/17 8:49,10.834,,,,,
409,6/8/17 9:49,11.005,,,,,
410,6/8/17 10:49,11.54,,,,,
411,6/8/17 11:49,12.243,,,,,
412,6/8/17 12:49,13.016,,,,,
413,6/8/17 13:49,13.762,,,,,
414,6/8/17 14:49,14.481,,,,,
415,6/8/17 15:49,15.27,,,,,
416,6/8/17 16:49,16.249,,,,,
417,6/8/17 17:49,16.296,,,,,
418,6/8/17 18:49,16.392,,,,,
419,6/8/17 19:49,16.272,,,,,
420,6/8/17 20:49,16.106,,,,,
421,6/8/17 21:49,15.748,,,,,
422,6/8/17 22:49,15.605,,,,,
423,6/8/17 23:49,15.247,,,,,
424,6/9/17 0:49,14.816,,,,,
425,6/9/17 1:49,14.194,,,,,
426,6/9/17 2:49,12.968,,,,,
427,6/9/17 3:49,12.268,,,,,
428,6/9/17 4:49,12.074,,,,,
429,6/9/17 5:49,11.419,,,,,
430,6/9/17 6:49,11.394,,,,,
431,6/9/17 7:49,11.346,,,,,
432,6/9/17 8:49,11.492,,,,,
433,6/9/17 9:49,11.904,,,,,
434,6/9/17 10:49,12.63,,,,,
435,6/9/17 11:49,13.305,,,,,
436,6/9/17 12:49,14.05,,,,,
437,6/9/17 13:49,14.577,,,,,
438,6/9/17 14:49,15.438,,,,,
439,6/9/17 15:49,16.034,,,,,
440,6/9/17 16:49,17.082,,,,,
441,6/9/17 17:49,17.249,,,,,
442,6/9/17 18:49,17.391,,,,,
443,6/9/17 19:49,17.13,,,,,
444,6/9/17 20:49,16.868,,,,,
445,6/9/17 21:49,16.463,,,,,
446,6/9/17 22:49,16.463,,,,,
447,6/9/17 23:49,15.986,,,,,
448,6/10/17 0:49,15.342,,,,,
449,6/10/17 1:49,14.984,,,,,
450,6/10/17 2:49,14.577,,,,,
451,6/10/17 3:49,14.29,,,,,
452,6/10/17 4:49,13.906,,,,,
453,6/10/17 5:49,13.281,,,,,
454,6/10/17 6:49,13.209,,,,,
455,6/10/17 7:49,13.064,,,,,
456,6/10/17 8:49,12.992,,,,,
457,6/10/17 9:49,13.401,,,,,
458,6/10/17 10:49,13.906,,,,,
459,6/10/17 11:49,14.218,,,,,
460,6/10/17 12:49,14.721,,,,,
461,6/10/17 13:49,15.247,,,,,
462,6/10/17 14:49,15.724,,,,,
463,6/10/17 15:49,15.963,,,,,
464,6/10/17 16:49,16.249,,,,,
465,6/10/17 17:49,16.868,,,,,
466,6/10/17 18:49,16.439,,,,,
467,6/10/17 19:49,16.034,,,,,
468,6/10/17 20:49,15.772,,,,,
469,6/10/17 21:49,15.652,,,,,
470,6/10/17 22:49,15.533,,,,,
471,6/10/17 23:49,15.127,,,,,
472,6/11/17 0:49,14.29,,,,,
473,6/11/17 1:49,14.242,,,,,
474,6/11/17 2:49,13.93,,,,,
475,6/11/17 3:49,13.425,,,,,
476,6/11/17 4:49,13.257,,,,,
477,6/11/17 5:49,12.799,,,,,
478,6/11/17 6:49,12.606,,,,,
479,6/11/17 7:49,12.34,,,,,
480,6/11/17 8:49,12.122,,,,,
481,6/11/17 9:49,12.001,,,,,
482,6/11/17 10:49,11.953,,,,,
483,6/11/17 11:49,12.195,,,,,
484,6/11/17 12:49,12.558,,,,,
485,6/11/17 13:49,12.509,,,,,
486,6/11/17 14:49,12.944,,,,,
487,6/11/17 15:49,13.088,,,,,
488,6/11/17 16:49,13.738,,,,,
489,6/11/17 17:49,13.738,,,,,
490,6/11/17 18:49,13.281,,,,,
491,6/11/17 19:49,13.305,,,,,
492,6/11/17 20:49,13.137,,,,,
493,6/11/17 21:49,12.582,,,,,
494,6/11/17 22:49,12.461,,,,,
495,6/11/17 23:49,12.147,,,,,
496,6/12/17 0:49,11.832,,,,,
497,6/12/17 1:49,11.516,,,,,
498,6/12/17 2:49,11.005,,,,,
499,6/12/17 3:49,10.761,,,,,
500,6/12/17 4:49,10.492,,,,,
501,6/12/17 5:49,10.124,,,,,
502,6/12/17 6:49,10.075,,,,,
503,6/12/17 7:49,9.829,,,,,
504,6/12/17 8:49,9.731,,,,,
505,6/12/17 9:49,9.682,,,,,
506,6/12/17 10:49,9.632,,,,,
507,6/12/17 11:49,9.608,,,,,
508,6/12/17 12:49,9.534,,,,,
509,6/12/17 13:49,9.336,,,,,
510,6/12/17 14:49,9.879,,,,,
511,6/12/17 15:49,10.124,,,,,
512,6/12/17 16:49,10.247,,,,,
513,6/12/17 17:49,10.418,,,,,
514,6/12/17 18:49,10.32,,,,,
515,6/12/17 19:49,10.467,,,,,
516,6/12/17 20:49,10.418,,,,,
517,6/12/17 21:49,10.051,,,,,
518,6/12/17 22:49,10.1,,,,,
519,6/12/17 23:49,9.903,,,,,
520,6/13/17 0:49,9.706,,,,,
521,6/13/17 1:49,9.46,,,,,
522,6/13/17 2:49,9.386,,,,,
523,6/13/17 3:49,8.941,,,,,
524,6/13/17 4:49,9.089,,,,,
525,6/13/17 5:49,8.693,,,,,
526,6/13/17 6:49,8.767,,,,,
527,6/13/17 7:49,8.668,,,,,
528,6/13/17 8:49,8.643,,,,,
529,6/13/17 9:49,8.693,,,,,
530,6/13/17 10:49,8.941,,,,,
531,6/13/17 11:49,9.188,,,,,
532,6/13/17 12:49,9.657,,,,,
533,6/13/17 13:49,9.657,,,,,
534,6/13/17 14:49,10.541,,,,,
535,6/13/17 15:49,11.078,,,,,
536,6/13/17 16:49,10.736,,,,,
537,6/13/17 17:49,10.59,,,,,
538,6/13/17 18:49,10.541,,,,,
539,6/13/17 19:49,10.736,,,,,
540,6/13/17 20:49,10.222,,,,,
541,6/13/17 21:49,10.149,,,,,
542,6/13/17 22:49,10.124,,,,,
543,6/13/17 23:49,9.854,,,,,
544,6/14/17 0:49,9.485,,,,,
545,6/14/17 1:49,9.089,,,,,
546,6/14/17 2:49,8.693,,,,,
547,6/14/17 3:49,8.319,,,,,
548,6/14/17 4:49,7.995,,,,,
549,6/14/17 5:49,7.845,,,,,
550,6/14/17 6:49,7.845,,,,,
551,6/14/17 7:49,7.795,,,,,
552,6/14/17 8:49,7.745,,,,,
553,6/14/17 9:49,7.82,,,,,
554,6/14/17 10:49,8.469,,,,,
555,6/14/17 11:49,9.287,,,,,
556,6/14/17 12:49,10.075,,,,,
557,6/14/17 13:49,10.761,,,,,
558,6/14/17 14:49,11.467,,,,,
559,6/14/17 15:49,12.147,,,,,
560,6/14/17 16:49,12.703,,,,,
561,6/14/17 17:49,12.727,,,,,
562,6/14/17 18:49,12.582,,,,,
563,6/14/17 19:49,11.977,,,,,
564,6/14/17 20:49,11.734,,,,,
565,6/14/17 21:49,11.467,,,,,
566,6/14/17 22:49,11.248,,,,,
567,6/14/17 23:49,10.712,,,,,
568,6/15/17 0:49,10.173,,,,,
569,6/15/17 1:49,9.657,,,,,
570,6/15/17 2:49,9.213,,,,,
571,6/15/17 3:49,8.841,,,,,
572,6/15/17 4:49,8.519,,,,,
573,6/15/17 5:49,8.27,,,,,
574,6/15/17 6:49,8.145,,,,,
575,6/15/17 7:49,8.12,,,,,
576,6/15/17 8:49,8.344,,,,,
577,6/15/17 9:49,8.792,,,,,
578,6/15/17 10:49,9.435,,,,,
579,6/15/17 11:49,10.124,,,,,
580,6/15/17 12:49,10.467,,,,,
581,6/15/17 13:49,11.127,,,,,
582,6/15/17 14:49,11.492,,,,,
583,6/15/17 15:49,11.613,,,,,
584,6/15/17 16:49,12.001,,,,,
585,6/15/17 17:49,12.461,,,,,
586,6/15/17 18:49,12.823,,,,,
587,6/15/17 19:49,12.461,,,,,
588,6/15/17 20:49,12.292,,,,,
589,6/15/17 21:49,11.734,,,,,
590,6/15/17 22:49,11.492,,,,,
591,6/15/17 23:49,11.102,,,,,
592,6/16/17 0:49,10.59,,,,,
593,6/16/17 1:49,10.271,,,,,
594,6/16/17 2:49,10.051,,,,,
595,6/16/17 3:49,9.952,,,,,
596,6/16/17 4:49,9.657,,,,,
597,6/16/17 5:49,9.312,,,,,
598,6/16/17 6:49,9.139,,,,,
599,6/16/17 7:49,9.089,,,,,
600,6/16/17 8:49,9.287,,,,,
601,6/16/17 9:49,9.706,,,,,
602,6/16/17 10:49,9.952,,,,,
603,6/16/17 11:49,10.932,,,,,
604,6/16/17 12:49,11.71,,,,,
605,6/16/17 13:49,12.268,,,,,
606,6/16/17 14:49,12.871,,,,,
607,6/16/17 15:49,12.751,,,,,
608,6/16/17 16:49,13.401,,,,,
609,6/16/17 17:49,13.762,,,,,
610,6/16/17 18:49,13.57,,,,,
611,6/16/17 19:49,12.92,,,,,
612,6/16/17 20:49,12.92,,,,,
613,6/16/17 21:49,12.871,,,,,
614,6/16/17 22:49,12.63,,,,,
615,6/16/17 23:49,12.364,,,,,
616,6/17/17 0:49,12.074,,,,,
617,6/17/17 1:49,11.734,,,,,
618,6/17/17 2:49,11.248,,,,,
619,6/17/17 3:49,10.858,,,,,
620,6/17/17 4:49,10.369,,,,,
621,6/17/17 5:49,10.051,,,,,
622,6/17/17 6:49,10.198,,,,,
623,6/17/17 7:49,10.149,,,,,
624,6/17/17 8:49,10.345,,,,,
625,6/17/17 9:49,10.296,,,,,
626,6/17/17 10:49,10.761,,,,,
627,6/17/17 11:49,11.613,,,,,
628,6/17/17 12:49,12.292,,,,,
629,6/17/17 13:49,12.775,,,,,
630,6/17/17 14:49,13.618,,,,,
631,6/17/17 15:49,13.738,,,,,
632,6/17/17 16:49,14.29,,,,,
633,6/17/17 17:49,14.074,,,,,
634,6/17/17 18:49,14.146,,,,,
635,6/17/17 19:49,14.026,,,,,
636,6/17/17 20:49,13.69,,,,,
637,6/17/17 21:49,13.209,,,,,
638,6/17/17 22:49,12.896,,,,,
639,6/17/17 23:49,12.437,,,,,
640,6/18/17 0:49,12.074,,,,,
641,6/18/17 1:49,11.783,,,,,
642,6/18/17 2:49,11.492,,,,,
643,6/18/17 3:49,11.175,,,,,
644,6/18/17 4:49,10.81,,,,,
645,6/18/17 5:49,10.369,,,,,
646,6/18/17 6:49,10.222,,,,,
647,6/18/17 7:49,10.149,,,,,
648,6/18/17 8:49,10.124,,,,,
649,6/18/17 9:49,10.271,,,,,
650,6/18/17 10:49,10.687,,,,,
651,6/18/17 11:49,11.078,,,,,
652,6/18/17 12:49,11.88,,,,,
653,6/18/17 13:49,12.025,,,,,
654,6/18/17 14:49,12.727,,,,,
655,6/18/17 15:49,13.377,,,,,
656,6/18/17 16:49,13.858,,,,,
657,6/18/17 17:49,14.218,,,,,
658,6/18/17 18:49,14.074,,,,,
659,6/18/17 19:49,14.122,,,,,
660,6/18/17 20:49,13.594,,,,,
661,6/18/17 21:49,13.449,,,,,
662,6/18/17 22:49,13.281,,,,,
663,6/18/17 23:49,12.775,,,,,
664,6/19/17 0:49,12.389,,,,,
665,6/19/17 1:49,11.953,,,,,
666,6/19/17 2:49,11.443,,,,,
667,6/19/17 3:49,11.029,,,,,
668,6/19/17 4:49,10.638,,,,,
669,6/19/17 5:49,9.928,,,,,
670,6/19/17 6:49,10.051,,,,,
671,6/19/17 7:49,9.977,,,,,
672,6/19/17 8:49,10.051,,,,,
673,6/19/17 9:49,10.467,,,,,
674,6/19/17 10:49,10.956,,,,,
675,6/19/17 11:49,11.71,,,,,
676,6/19/17 12:49,12.558,,,,,
677,6/19/17 13:49,12.703,,,,,
678,6/19/17 14:49,12.896,,,,,
679,6/19/17 15:49,13.882,,,,,
680,6/19/17 16:49,14.074,,,,,
