#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20635520, SEN S/N: 20635520)",DOY,Coupler Attached (LGR S/N: 20635520),Host Connected (LGR S/N: 20635520),Stopped (LGR S/N: 20635520),End Of File (LGR S/N: 20635520)
169,6/9/2021 15:24,10.614,161,,,,
170,6/9/2021 16:24,10.956,161,,,,
171,6/9/2021 17:24,11.321,161,,,,
172,6/9/2021 18:24,11.2,161,,,,
173,6/9/2021 19:24,11.2,161,,,,
174,6/9/2021 20:24,11.102,161,,,,
175,6/9/2021 21:24,10.883,161,,,,
176,6/9/2021 22:24,10.614,161,,,,
177,6/9/2021 23:24,10.32,161,,,,
178,6/10/2021 0:24,10.026,161,,,,
179,6/10/2021 1:24,9.731,161,,,,
180,6/10/2021 2:24,9.46,161,,,,
181,6/10/2021 3:24,9.188,161,,,,
182,6/10/2021 4:24,8.916,161,,,,
183,6/10/2021 5:24,8.693,161,,,,
184,6/10/2021 6:24,8.494,161,,,,
185,6/10/2021 7:24,8.444,161,,,,
186,6/10/2021 8:24,8.444,161,,,,
187,6/10/2021 9:24,8.469,161,,,,
188,6/10/2021 10:24,8.717,161,,,,
189,6/10/2021 11:24,9.015,161,,,,
190,6/10/2021 12:24,9.706,162,,,,
191,6/10/2021 13:24,10.247,162,,,,
192,6/10/2021 14:24,10.761,162,,,,
193,6/10/2021 15:24,11.248,162,,,,
194,6/10/2021 16:24,11.589,162,,,,
195,6/10/2021 17:24,11.953,162,,,,
196,6/10/2021 18:24,11.589,162,,,,
197,6/10/2021 19:24,11.54,162,,,,
198,6/10/2021 20:24,11.321,162,,,,
199,6/10/2021 21:24,11.224,162,,,,
200,6/10/2021 22:24,10.98,162,,,,
201,6/10/2021 23:24,10.638,162,,,,
202,6/11/2021 0:24,10.271,162,,,,
203,6/11/2021 1:24,10.1,162,,,,
204,6/11/2021 2:24,10.001,162,,,,
205,6/11/2021 3:24,9.829,162,,,,
206,6/11/2021 4:24,9.632,162,,,,
207,6/11/2021 5:24,9.435,162,,,,
208,6/11/2021 6:24,9.312,162,,,,
209,6/11/2021 7:24,9.163,162,,,,
210,6/11/2021 8:24,9.139,162,,,,
211,6/11/2021 9:24,9.188,162,,,,
212,6/11/2021 10:24,9.336,162,,,,
213,6/11/2021 11:24,9.879,162,,,,
214,6/11/2021 12:24,10.026,163,,,,
215,6/11/2021 13:24,10.467,163,,,,
216,6/11/2021 14:24,10.761,163,,,,
217,6/11/2021 15:24,11.346,163,,,,
218,6/11/2021 16:24,11.078,163,,,,
219,6/11/2021 17:24,11.419,163,,,,
220,6/11/2021 18:24,11.273,163,,,,
221,6/11/2021 19:24,11.053,163,,,,
222,6/11/2021 20:24,10.883,163,,,,
223,6/11/2021 21:24,10.541,163,,,,
224,6/11/2021 22:24,10.271,163,,,,
225,6/11/2021 23:24,10.026,163,,,,
226,6/12/2021 0:24,9.952,163,,,,
227,6/12/2021 1:24,9.78,163,,,,
228,6/12/2021 2:24,9.583,163,,,,
229,6/12/2021 3:24,9.336,163,,,,
230,6/12/2021 4:24,9.04,163,,,,
231,6/12/2021 5:24,8.792,163,,,,
232,6/12/2021 6:24,8.668,163,,,,
233,6/12/2021 7:24,8.693,163,,,,
234,6/12/2021 8:24,8.891,163,,,,
235,6/12/2021 9:24,9.163,163,,,,
236,6/12/2021 10:24,9.583,163,,,,
