Location,Group,Collection_Lat,Collection_Long
Copper Lake,Tanada/Copper lakes,62.424,-143.473
Tanada Lake shore,Tanada/Copper lakes,62.41,-143.37
Tanada Lake lower outlet,Tanada/Copper lakes,62.4705,-143.38042
Tanada Creek weir,Tanada/Copper lakes,62.5959,-143.718
Bad Crossing 2,Slana,62.99571,-144.25937
Bone Creek,Slana,62.97175,-143.89551
Mentasta Lake,Slana,62.91896,-143.82404
Suslota Lake,Slana,62.7051,-143.5894
Gulkana-Fish Creek,Gulkana,63.0999,-145.48719
Gulkana Hatchery late run,Gulkana hatchery,63.00764,-145.49697
Gulkana Hatchery early run,Gulkana hatchery,63.00764,-145.49697
Paxson Lake outlet,Gulkana,62.8552,-145.6137
Swede Lake,Gulkana,62.99066,-145.89165
Keg Creek,Gulkana,62.72392,-146.43522
Mendeltna Creek,Tazlina,62.12836,-146.62309
Banana Lake,Klutina Lake,61.45687,-146.06226
Bear Hole,Klutina Lake,61.51616,-145.96411
Klutina Lake inlet,Klutina Lake,61.60085,-145.99352
St. Anne Creek,Klutina Lake,61.73789,-145.96743
Mahlo River,Klutina Lake,61.73567,-145.74124
Klutina Lake outlet,Klutina Lake outlet,61.75119,-145.71484
Tonsina Lake outlet,Tonsina Lake outlet,61.52039,-145.49908
Tana River,Chitina,60.90318,-142.7216
Long Lake,Chitina,61.3723,-143.3479
Copper River Flats,River Mouth,60.273234,-145.071545
