Yr,Day,Hr,Mn,Sec,Fr,Code,Sig,Latitude,Longitude,GpsAge
5,262,8,50,27,8184,210,98,61.532215,-144.4164317,0
5,262,8,50,27,8184,210,99,61.532215,-144.4164317,0
5,262,8,50,29,8184,210,101,61.531575,-144.41645,0
5,262,8,50,30,8184,210,102,61.53125833,-144.4164117,0
5,262,8,50,31,8184,210,101,61.530945,-144.4163433,0
5,262,8,50,34,8184,210,99,61.53003833,-144.41593,1
5,262,8,50,34,8184,210,98,61.53003833,-144.41593,1
5,262,8,50,47,8287,130,81,61.528055,-144.41024,0
5,262,8,50,48,8287,130,73,61.52815833,-144.409695,0
5,262,8,50,49,8287,130,71,61.5283,-144.4091817,0
5,262,8,50,49,8287,130,74,61.5283,-144.4091817,0
5,262,8,51,14,8066,10,73,61.532055,-144.4146,0
5,262,8,51,19,8066,10,68,61.530825,-144.4164233,0
5,262,8,51,19,8066,10,70,61.530825,-144.4164233,0
5,262,8,53,42,8165,230,71,61.56384167,-144.421115,0
5,262,8,53,43,8165,230,69,61.56415167,-144.4211017,0
5,262,8,53,58,8245,240,76,61.56841833,-144.41723,0
5,262,8,53,59,8245,240,78,61.568665,-144.4167933,0
5,262,8,54,0,8245,240,78,61.568665,-144.4167933,1
5,262,8,54,1,8245,240,78,61.56940333,-144.41553,0
5,262,8,54,45,8165,230,76,61.58195,-144.4150983,1
5,262,8,55,29,8364,130,74,61.59272,-144.4289467,0
5,262,8,55,29,8364,130,76,61.59272,-144.4289467,0
5,262,8,55,30,8364,130,77,61.59269833,-144.429585,0
5,262,8,55,31,8364,130,78,61.592655,-144.4302183,1
5,262,8,55,32,8364,130,78,61.592595,-144.4308467,0
5,262,8,55,33,8364,130,74,61.59251833,-144.4314717,1
5,262,8,55,35,8364,130,75,61.592335,-144.4327067,1
5,262,8,55,36,8364,130,65,61.59222833,-144.433315,1
5,262,8,58,54,8066,750,80,61.63360833,-144.5056883,0
5,262,8,58,54,8066,750,81,61.63360833,-144.5056883,0
5,262,8,58,56,8066,750,79,61.63372333,-144.5062717,0
5,262,8,58,57,8066,750,79,61.63384833,-144.5068483,0
5,262,8,58,58,8066,750,79,61.63398333,-144.5074167,0
5,262,8,59,20,8146,180,74,61.63907333,-144.516305,0
5,262,8,59,23,8146,180,69,61.63987833,-144.5171333,0
5,262,8,59,55,8066,750,99,61.64073167,-144.537275,1
5,262,9,0,15,8146,180,76,61.641275,-144.5494567,1
5,262,9,0,16,8146,180,70,61.64120667,-144.550075,1
5,262,9,0,54,8066,110,70,61.64121667,-144.5735467,1
5,262,9,0,57,8066,110,76,61.64150333,-144.5753017,1
5,262,9,0,58,8066,110,80,61.64160333,-144.5758833,1
5,262,9,0,59,8066,110,76,61.64170333,-144.5764617,1
