Yr,Day,Hr,Mn,Sec,Fr,Code,Sig,Latitude,Longitude,GpsAge
5,188,8,33,59,8364,240,102,62.31897167,-145.2116067,4
5,188,8,34,0,8364,240,111,62.31983167,-145.2092533,1
5,188,8,34,2,8364,240,108,62.32027167,-145.20811,0
5,188,8,34,3,8364,240,103,62.32049333,-145.2075417,0
5,188,8,34,5,8364,240,100,62.32094833,-145.2064233,0
5,188,8,34,6,8364,240,109,62.32118,-145.2058683,1
5,188,8,34,7,8364,240,112,62.321415,-145.205315,1
5,188,8,34,8,8364,240,108,62.32164833,-145.2047633,1
5,188,8,34,10,8364,240,106,62.32212333,-145.20367,1
5,188,8,34,10,8364,240,103,62.32212333,-145.20367,1
5,188,8,39,48,8205,3,95,62.39883167,-145.0107467,1
5,188,8,39,48,8205,0,98,62.39883167,-145.0107467,1
5,188,8,39,50,8205,0,115,62.398995,-145.00925,1
5,188,8,39,50,8205,0,123,62.398995,-145.00925,1
5,188,8,39,51,8205,0,123,62.398995,-145.00925,2
5,188,8,39,53,8205,0,123,62.39923333,-145.007005,0
5,188,8,39,54,8205,0,121,62.39928167,-145.0062517,0
5,188,8,39,54,8205,0,116,62.39928167,-145.0062517,0
5,188,8,39,56,8205,0,113,62.399315,-145.0047483,0
5,188,8,39,56,8205,0,99,62.399315,-145.0047483,0
5,188,8,39,57,8205,0,115,62.3993,-145.0039983,0
5,188,8,39,58,8205,0,107,62.39926167,-145.003255,0
5,188,8,42,49,8326,0,102,62.43814333,-144.8995883,1
5,188,8,42,49,8326,0,106,62.43814333,-144.8995883,1
5,188,8,42,51,8326,0,106,62.43857,-144.8983,1
5,188,8,50,45,8326,190,102,62.55459833,-144.6698233,0
5,188,8,50,47,8326,190,105,62.55476667,-144.6692,1
5,188,8,50,48,8326,190,105,62.55511167,-144.6679717,0
5,188,8,50,49,8326,190,99,62.55529,-144.6673633,0
5,188,8,50,50,8326,190,99,62.555465,-144.6667533,0
5,188,8,50,53,8326,190,89,62.55598833,-144.664935,0
5,188,8,50,54,8326,190,91,62.55616167,-144.6643283,1
5,188,8,51,36,8326,190,109,62.56398667,-144.6392283,0
5,188,8,51,37,8326,190,114,62.56418667,-144.6386583,0
5,188,9,5,34,8245,110,91,62.66546167,-144.1281733,0
5,188,9,5,36,8245,110,89,62.665615,-144.1267333,1
5,188,9,5,37,8245,110,88,62.665695,-144.126015,0
5,188,9,5,38,8245,110,90,62.66576833,-144.125295,1
5,188,9,5,40,8245,110,92,62.66590167,-144.1238433,1
5,188,9,5,40,8245,110,90,62.66590167,-144.1238433,1
5,188,9,5,41,8245,110,92,62.66596833,-144.1231183,0
5,188,9,5,43,8245,110,90,62.66612,-144.121675,1
5,188,9,5,44,8245,110,88,62.66621333,-144.1209633,1
5,188,9,5,47,8245,110,88,62.66656333,-144.1188783,1
5,188,9,5,47,8245,110,89,62.66656333,-144.1188783,1
5,188,9,5,52,8245,110,84,62.66740833,-144.1156283,0
5,188,9,6,0,8265,750,98,62.66912833,-144.1110733,1
5,188,9,6,1,8265,750,102,62.66934,-144.110525,1
5,188,9,6,2,8265,750,96,62.66954833,-144.1099717,1
5,188,9,6,3,8265,750,100,62.66975667,-144.1094183,1
5,188,9,6,4,8265,750,102,62.66996333,-144.108865,1
5,188,9,6,42,8245,110,110,62.67784,-144.0879833,0
5,188,9,6,43,8245,110,112,62.67803,-144.08736,0
5,188,9,6,44,8245,110,113,62.67822167,-144.0867333,0
5,188,9,7,25,8245,110,107,62.68516,-144.0599983,1
5,188,9,7,26,8245,110,107,62.68536,-144.0593733,1
5,188,9,12,12,8405,230,120,62.72049833,-143.8714983,1
5,188,9,12,13,8405,230,117,62.72051667,-143.8707733,1
5,188,9,12,14,8405,230,120,62.72055833,-143.8693217,0
5,188,9,12,16,8405,230,116,62.72058833,-143.8678567,0
5,188,9,35,51,8184,80,87,62.89476167,-143.7401283,1
5,188,9,35,55,8184,80,95,62.89528333,-143.7434017,0
5,188,9,35,56,8184,80,93,62.89531167,-143.744075,0
5,188,9,35,57,8184,80,93,62.895325,-143.74475,0
5,188,9,36,2,8184,80,88,62.89532333,-143.7474633,0
5,188,9,36,2,8184,80,92,62.89532333,-143.7474633,0
5,188,9,36,3,8184,80,91,62.89538667,-143.7488267,0
5,188,9,36,9,8184,80,97,62.89614667,-143.7526117,0
5,188,9,36,10,8184,80,100,62.89634667,-143.7531583,1
5,188,9,36,13,8184,80,100,62.897045,-143.7545933,1
5,188,9,36,14,8184,80,99,62.897305,-143.7550083,1
5,188,9,36,15,8184,80,99,62.89757667,-143.755395,1
5,188,9,36,16,8184,80,98,62.89786,-143.7557583,0
5,188,9,36,17,8184,80,98,62.89815,-143.7560967,1
5,188,9,36,18,8184,80,98,62.89844667,-143.7564133,1
5,188,9,36,19,8184,80,97,62.89875,-143.7567083,0
5,188,9,36,20,8184,80,98,62.89905667,-143.757,0
5,188,9,36,22,8184,80,99,62.89967833,-143.75755,0
5,188,9,36,23,8184,80,99,62.89999333,-143.7578067,1
5,188,9,36,25,8184,80,101,62.900315,-143.758075,1
5,188,9,36,26,8184,80,102,62.90097167,-143.758575,0
5,188,9,36,28,8184,80,101,62.90163667,-143.7590033,0
5,188,9,36,29,8184,80,101,62.90197167,-143.7591883,0
5,188,9,36,30,8184,80,100,62.90197167,-143.7591883,1
5,188,9,36,32,8184,80,100,62.90297333,-143.759685,0
5,188,9,36,33,8184,80,96,62.903305,-143.759845,0
5,188,9,36,34,8184,80,98,62.90363833,-143.7600067,0
5,188,9,36,35,8184,80,101,62.90396833,-143.76017,0
5,188,9,36,37,8184,80,100,62.90462333,-143.76052,0
5,188,9,36,37,8184,80,98,62.90462333,-143.76052,0
5,188,9,36,39,8184,80,96,62.90527667,-143.7609083,1
5,188,9,36,39,8184,80,95,62.90527667,-143.7609083,1
5,188,9,36,42,8184,80,92,62.906255,-143.7615733,1
5,188,9,36,51,8265,10,116,62.90907667,-143.7642733,1
5,188,9,36,51,8265,10,115,62.90907667,-143.7642733,1
5,188,9,36,54,8265,10,114,62.90968667,-143.7649333,1
5,188,9,36,54,8265,10,113,62.90968667,-143.7649333,1
5,188,9,36,55,8265,10,112,62.91029667,-143.7656033,0
5,188,9,37,1,8287,260,117,62.91207167,-143.7679133,1
5,188,9,37,1,8287,260,118,62.91207167,-143.7679133,1
5,188,9,37,2,8287,260,117,62.912325,-143.7684383,1
5,188,9,37,4,8287,260,113,62.912325,-143.7684383,3
5,188,9,37,37,8184,80,109,62.91148333,-143.793245,0
5,188,9,37,38,8184,80,104,62.91164833,-143.7939367,0
5,188,9,39,38,8126,130,96,62.91852333,-143.8074467,1
5,188,9,39,39,8126,130,98,62.918295,-143.80787,1
5,188,9,39,57,8225,120,100,62.91539167,-143.8175283,0
5,188,9,39,58,8225,120,101,62.91547333,-143.8181633,0
5,188,9,39,59,8225,120,100,62.915595,-143.818765,0
5,188,9,40,0,8225,120,101,62.91575667,-143.819325,0
5,188,9,40,1,8225,120,104,62.91595333,-143.8198367,0
5,188,9,40,2,8225,120,109,62.91618,-143.8202967,0
5,188,9,40,9,8205,80,88,62.91824,-143.8211533,0
5,188,9,40,10,8205,80,90,62.91851333,-143.8208767,0
5,188,9,40,11,8205,80,99,62.91876,-143.820505,1
5,188,9,41,28,8184,80,103,62.91085667,-143.7759733,1
5,188,9,41,29,8184,80,101,62.91075333,-143.7753917,1
5,188,9,41,31,8184,80,98,62.91056333,-143.7742,1
5,188,9,41,31,8184,80,92,62.91056333,-143.7742,1
5,188,9,43,20,8364,80,96,62.91642,-143.8151783,0
5,188,9,43,21,8364,80,97,62.91645833,-143.81588,0
5,188,9,43,22,8364,80,96,62.91650167,-143.8165817,1
5,188,9,43,23,8364,80,96,62.91655167,-143.8172817,1
5,188,9,43,32,8364,80,106,62.91742833,-143.8234283,1
5,188,9,43,33,8364,80,99,62.917625,-143.8240133,1
5,188,9,43,34,8364,80,99,62.91785,-143.8245433,0
5,188,9,43,35,8364,80,96,62.91809333,-143.8250317,1
5,188,9,43,36,8364,80,96,62.91834833,-143.8254867,0
5,188,9,43,37,8364,80,91,62.91861167,-143.82592,1
5,188,9,43,38,8364,80,86,62.918875,-143.82635,0
5,188,9,43,43,8364,80,89,62.919985,-143.8289583,1
5,188,9,43,45,8364,80,83,62.92014667,-143.829585,0
5,188,9,43,45,8364,80,85,62.92014667,-143.829585,0
5,188,9,43,49,8364,80,87,62.92044833,-143.8329983,0
5,188,9,43,50,8364,80,89,62.92041667,-143.83369,0
5,188,9,51,56,8225,180,102,62.981965,-143.8569917,1
5,188,9,51,59,8225,180,113,62.982935,-143.8565383,1
5,188,9,52,0,8225,180,117,62.98326833,-143.8565167,1
5,188,9,52,2,8225,180,114,62.98393,-143.8566667,1
5,188,9,52,3,8225,180,116,62.98425833,-143.8567933,1
5,188,10,2,40,8287,40,98,62.96624333,-143.9729767,0
5,188,10,2,41,8287,40,91,62.96624167,-143.9736583,1
5,188,10,2,43,8287,40,94,62.966265,-143.9743467,1
5,188,10,2,43,8287,40,89,62.966265,-143.9743467,1
5,188,10,3,27,8326,20,101,62.970875,-143.9791833,0
5,188,10,3,27,8326,23,98,62.970875,-143.9791833,0
5,188,10,3,29,8326,20,90,62.97037167,-143.978585,1
5,188,10,3,37,8326,20,108,62.968385,-143.9790067,1
5,188,10,3,39,8326,20,101,62.96750833,-143.9796317,0
5,188,10,4,44,8103,240,105,62.97603,-143.9929567,0
