Yr,Day,Hr,Mn,Sec,Fr,Code,Sig,Latitude,Longitude,GpsAge,,,,
5,218,6,35,43,8165,140,75,62.035965,-145.39899,1,,,,
5,218,6,35,44,8165,140,74,62.03574833,-145.398495,1,,,,
5,218,6,36,7,8165,140,84,62.03978833,-145.3871683,1,,,,
5,218,6,36,8,8165,140,85,62.040135,-145.387175,1,,,,
5,218,6,36,9,8165,140,84,62.04047667,-145.3872667,1,,,,
5,218,6,36,10,8165,140,83,62.04080667,-145.3874467,1,,,,
5,218,6,36,11,8165,140,82,62.04111667,-145.387725,1,,,,
5,218,6,36,12,8165,140,79,62.04139833,-145.3880967,1,,,,
5,218,6,36,14,8165,140,81,62.04185833,-145.3890883,1,,,,
5,218,6,36,15,8165,140,80,62.04202333,-145.3896817,1,,,,
5,218,6,36,16,8165,140,79,62.04222,-145.3909867,0,,,,
5,218,6,36,18,8165,140,81,62.04225667,-145.3916633,0,,,,
5,218,6,44,47,8184,260,84,62.07175833,-145.6245067,1,,,,
5,218,6,44,47,8184,260,82,62.07175833,-145.6245067,1,,,,
5,218,6,44,49,8184,260,78,62.07128167,-145.6253333,1,,,,
5,218,6,46,8,8184,260,111,62.07635667,-145.6594883,1,,,,
5,218,6,46,9,8184,260,113,62.076635,-145.6591617,1,,,,
5,218,6,46,9,8184,260,111,62.076635,-145.6591617,1,,,,
5,218,6,46,10,8184,260,111,62.076915,-145.6588283,1,,,,
5,218,6,46,11,8184,260,110,62.07719333,-145.6584967,1,,,,
5,218,6,57,53,8086,120,78,62.07054833,-145.97077,1,,,,
5,218,6,57,54,8086,120,81,62.07024833,-145.9710817,1,,,,
5,218,6,57,55,8086,120,81,62.06994167,-145.9713683,1,,,,
5,218,6,57,56,8086,120,80,62.06963,-145.9716317,1,,,,
5,218,6,57,58,8086,120,79,62.06898667,-145.972065,1,,,,
5,218,6,57,59,8086,120,79,62.06866167,-145.9722217,1,,,,
5,218,6,58,3,8086,120,78,62.06695,-145.97231,0,,,,
5,218,6,58,5,8086,120,74,62.06627,-145.9720267,0,,,,
5,218,6,58,6,8086,120,84,62.065935,-145.971815,0,,,,
5,218,6,58,8,8086,120,81,62.065605,-145.9715633,0,,,,
5,218,6,58,9,8086,120,83,62.06528167,-145.971265,0,,,,
5,218,6,58,10,8086,120,79,62.064965,-145.9709267,1,,,,
5,218,7,1,45,8245,80,71,62.05201167,-146.0082467,0,,,,
5,218,7,9,48,8265,260,70,62.00534667,-146.2537433,0,,,,
5,218,7,9,50,8265,260,77,62.00517833,-146.254895,1,,,,
5,218,7,9,51,8265,260,87,62.005005,-146.2560433,0,,,,
5,218,7,9,53,8265,260,90,62.00472833,-146.25709,0,,,,
5,218,7,9,53,8265,260,87,62.00472833,-146.25709,0,,,,
5,218,7,9,56,8265,260,83,62.00406667,-146.25827,0,,,,
5,218,7,9,56,8265,260,82,62.00406667,-146.25827,0,,,,
5,218,7,9,58,8265,260,79,62.00379333,-146.258525,0,,,,
5,218,7,10,1,8265,260,78,62.00286833,-146.258775,0,,,,
5,218,7,10,1,8265,260,76,62.00286833,-146.258775,0,,,,
5,218,7,26,45,8205,180,69,62.12196167,-146.6209667,0,,,,
5,218,7,26,47,8205,180,74,62.12216833,-146.6205017,0,,,,
5,218,7,26,53,8205,180,70,62.12383667,-146.6197167,0,,,,
5,218,7,28,0,8205,180,79,62.13168667,-146.6319783,1,,,,
5,218,7,28,3,8205,180,87,62.13162167,-146.6297217,1,,,,
5,218,7,28,6,8205,180,94,62.13150167,-146.6275317,1,,,,
5,218,7,28,6,8205,180,84,62.13150167,-146.6275317,1,,,,
5,218,7,52,51,8165,90,74,61.75828833,-145.9773833,0,,,,
5,218,7,52,51,8165,90,74,61.75828833,-145.9773833,0,,,,
5,218,7,52,56,8165,90,75,61.75712833,-145.9762717,1,,,,
5,218,7,52,57,8165,90,75,61.75683667,-145.9760083,1,,,,
5,218,7,52,57,8165,90,77,61.75683667,-145.9760083,1,,,,
5,218,7,52,58,8165,90,77,61.75654333,-145.975755,1,,,,
5,218,7,53,0,8165,90,81,61.75596,-145.9752867,1,,,,
5,218,7,53,1,8165,90,83,61.75566833,-145.9750767,1,,,,
5,218,7,53,1,8165,90,83,61.75566833,-145.9750767,1,,,,
5,218,7,53,2,8165,90,82,61.755375,-145.9748833,1,,,,
5,218,7,53,21,8287,0,73,61.74903167,-145.97459,0,,,,
5,218,7,53,21,8287,0,71,61.74903167,-145.97459,0,,,,
5,218,7,53,22,8287,0,71,61.74871167,-145.9745617,0,,,,
5,218,7,53,24,8287,0,72,61.74839,-145.9745083,0,,,,
5,218,7,53,25,8287,0,73,61.74806667,-145.9744267,0,,,,
5,218,7,53,26,8287,0,73,61.74774167,-145.9743117,0,,,,
5,218,7,53,26,8287,0,74,61.74774167,-145.9743117,0,,,,
5,218,7,53,56,8025,140,82,61.73904167,-145.9675683,1,,,,
5,218,7,53,57,8025,140,86,61.73876833,-145.9679433,1,,,,
5,218,7,53,58,8025,140,80,61.73849667,-145.9683067,1,,,,
5,218,7,53,59,8025,140,81,61.73821167,-145.9686083,1,,,,
5,218,7,54,0,8025,140,82,61.73791167,-145.9688283,1,,,,
5,218,7,54,1,8025,140,80,61.73727667,-145.9690033,0,,,,
5,218,7,54,2,8025,140,85,61.73695333,-145.968945,0,,,,
5,218,7,54,3,8025,140,86,61.73663667,-145.9687867,0,,,,
5,218,7,54,5,8025,140,87,61.736335,-145.968515,0,,,,
5,218,7,54,7,8025,140,87,61.73581667,-145.9676833,0,,,,
5,218,7,54,8,8025,140,89,61.735615,-145.9671433,0,,,,
5,218,7,54,10,8025,140,94,61.7354,-145.965925,0,,,,
5,218,7,54,10,8025,140,93,61.7354,-145.965925,0,,,,
5,218,7,54,13,8025,140,80,61.73537833,-145.9639117,0,,,,
5,218,7,54,15,8025,140,76,61.73561167,-145.962705,1,,,,
5,218,7,54,16,8025,140,80,61.7358,-145.962185,1,,,,
5,218,7,54,17,8025,140,84,61.73602833,-145.9617833,1,,,,
5,218,7,54,18,8025,140,87,61.736285,-145.9614267,1,,,,
5,218,7,54,19,8025,140,87,61.73657,-145.9612117,1,,,,
5,218,7,54,20,8025,190,71,61.737165,-145.9610283,0,,,,
5,218,7,54,20,8025,140,84,61.737165,-145.9610283,0,,,,
5,218,7,54,21,8025,190,72,61.737165,-145.9610283,1,,,,
5,218,7,54,21,8025,140,79,61.737165,-145.9610283,1,,,,
5,218,7,54,23,8025,140,77,61.73806667,-145.9612033,0,,,,
5,218,7,54,26,8025,140,74,61.73895833,-145.96169,0,,,,
5,218,7,54,29,8025,140,75,61.73953667,-145.9622033,0,,,,
5,218,7,54,34,8045,10,102,61.741085,-145.9645183,0,,,,
