Yr,Day,Hr,Mn,Sec,Fr,Code,Sig,Latitude,Longitude,GpsAge
5,245,9,17,31,8086,140,87,62.26703,-145.3362617,0
5,245,9,17,31,8086,140,89,62.26703,-145.3362617,0
5,245,9,17,32,8086,140,89,62.26728333,-145.3358283,0
5,245,9,17,33,8086,140,90,62.26754,-145.3354033,0
5,245,9,17,35,8086,140,89,62.2678,-145.3349867,0
5,245,9,17,36,8086,140,71,62.26806833,-145.3345917,0
5,245,9,17,37,8086,140,78,62.26806833,-145.3345917,1
5,245,9,17,38,8086,140,79,62.26864167,-145.33393,0
5,245,9,17,40,8086,140,72,62.26925667,-145.33348,0
5,245,9,17,41,8086,140,86,62.269895,-145.3333233,0
5,245,9,17,42,8086,140,76,62.27021667,-145.3333383,1
5,245,9,17,43,8086,140,78,62.27053833,-145.333395,0
5,245,9,17,44,8086,140,73,62.27086167,-145.3334617,0
5,245,9,17,45,8086,140,78,62.27118333,-145.3335183,0
5,245,9,17,46,8086,140,84,62.27150833,-145.33356,1
5,245,9,17,47,8086,140,83,62.271835,-145.333575,1
5,245,9,17,48,8086,140,85,62.27216167,-145.33356,1
5,245,9,17,52,8086,140,85,62.27346667,-145.333335,1
5,245,9,17,53,8086,140,74,62.27379167,-145.33325,0
5,245,9,18,36,8086,140,78,62.28692167,-145.33116,0
5,245,9,18,37,8086,140,79,62.28719333,-145.331325,0
5,245,9,18,38,8086,140,85,62.28746333,-145.3315133,0
5,245,9,22,44,8184,60,79,62.31634167,-145.19663,0
5,245,9,26,55,8146,200,64,62.358075,-145.1382033,1
5,245,9,26,59,8146,200,74,62.35854,-145.139945,1
5,245,9,27,0,8146,200,70,62.35874667,-145.14046,1
5,245,9,27,2,8146,200,81,62.35922667,-145.1413583,1
5,245,9,31,41,8326,240,79,62.40153667,-144.992815,0
5,245,9,31,42,8326,240,75,62.40167333,-144.9921767,0
5,245,9,31,43,8326,240,76,62.40179833,-144.9915267,1
5,245,9,31,47,8326,240,79,62.40219667,-144.988845,0
5,245,9,31,49,8326,240,85,62.40230667,-144.98746,0
5,245,9,56,12,8326,190,72,62.55248833,-144.6783817,1
5,245,9,56,13,8326,190,83,62.55252333,-144.6777033,1
5,245,9,56,15,8326,190,86,62.55256,-144.6770233,1
5,245,9,56,16,8326,190,80,62.55259667,-144.6763383,1
5,245,9,56,17,8326,190,85,62.55263167,-144.67565,1
5,245,9,56,19,8326,190,89,62.5527,-144.6742683,1
5,245,9,56,20,8326,190,89,62.55277,-144.6728783,0
5,245,9,56,21,8326,190,89,62.55277,-144.6728783,1
5,245,9,56,22,8326,190,79,62.55284667,-144.6714883,0
5,245,9,57,4,8326,190,108,62.56079167,-144.6502217,1
5,245,9,57,4,8326,190,105,62.56101833,-144.6497367,1
5,245,11,19,19,8326,200,99,62.67505833,-144.336935,0
5,245,11,19,20,8326,200,105,62.67509167,-144.3377017,0
5,245,11,19,21,8326,200,106,62.67508833,-144.3384783,0
5,245,11,19,22,8326,200,105,62.67505667,-144.33926,0
5,245,11,19,23,8326,200,106,62.67499667,-144.3400383,1
5,245,11,19,24,8326,200,105,62.67490833,-144.3408067,1
5,245,11,19,25,8326,200,105,62.67478833,-144.341555,1
5,245,11,19,26,8326,200,105,62.67463833,-144.3422817,1
5,245,11,19,27,8326,200,106,62.67445833,-144.3429783,1
5,245,11,19,29,8326,200,105,62.67402167,-144.3442617,1
5,245,11,19,30,8326,200,103,62.673765,-144.34483,1
5,245,11,19,31,8326,200,101,62.673485,-144.345335,1
5,245,11,19,32,8326,200,100,62.67318667,-144.3457767,1
5,245,11,19,34,8326,200,94,62.67255,-144.3464683,0
5,245,11,19,35,8326,200,96,62.67222333,-144.3466983,1
5,245,11,19,36,8326,200,92,62.67189167,-144.3468517,1
5,245,11,19,37,8326,200,92,62.67156,-144.3469383,1
5,245,11,19,39,8326,200,91,62.67091167,-144.34691,1
5,245,11,19,40,8326,200,90,62.6706,-144.3468017,1
5,245,11,19,41,8326,200,92,62.67029833,-144.346635,1
5,245,11,19,44,8326,200,95,62.669465,-144.3458317,1
5,245,11,19,45,8326,200,96,62.66921,-144.34549,1
5,245,11,19,46,8326,200,97,62.66897,-144.3451167,1
5,245,11,19,47,8326,200,97,62.66874333,-144.344715,1
5,245,11,19,50,8326,200,97,62.66813333,-144.3433917,1
5,245,11,19,51,8326,200,96,62.66795833,-144.342905,1
5,245,11,19,52,8326,200,95,62.66780167,-144.34239,1
5,245,11,19,54,8326,200,95,62.667665,-144.3418483,1
5,245,11,19,56,8326,200,95,62.66746333,-144.3406867,1
5,245,11,19,57,8326,200,92,62.66740333,-144.3400783,1
5,245,11,19,58,8326,200,93,62.667375,-144.339455,1
5,245,11,19,59,8326,200,93,62.66738333,-144.3388283,1
5,245,11,25,1,8245,110,83,62.66281667,-144.1462383,0
5,245,11,25,2,8245,110,82,62.66271333,-144.1456083,0
5,245,11,25,3,8245,110,82,62.66260833,-144.1449783,0
5,245,11,25,4,8245,110,79,62.66250167,-144.1443467,1
5,245,11,25,5,8245,110,82,62.66240167,-144.1437117,1
5,245,11,25,6,8245,110,82,62.66240167,-144.1437117,2
5,245,11,25,8,8245,110,79,62.66222167,-144.142425,1
5,245,11,25,9,8245,110,82,62.66214,-144.1417717,1
5,245,11,25,10,8245,110,80,62.661995,-144.14045,0
5,245,11,25,11,8245,110,79,62.66193333,-144.13978,0
5,245,11,25,12,8245,110,81,62.66188833,-144.139105,0
5,245,11,25,13,8245,110,81,62.66185667,-144.1384233,0
5,245,11,25,14,8245,110,79,62.66183667,-144.1377367,0
5,245,11,25,15,8245,110,77,62.66183,-144.13705,0
5,245,11,25,19,8265,750,94,62.661905,-144.1343,0
5,245,11,25,20,8265,750,95,62.661945,-144.1336217,0
5,245,11,25,21,8265,750,94,62.661995,-144.1329483,0
5,245,11,25,23,8265,750,95,62.662125,-144.131625,0
