Yr,Day,Hr,Mn,Sec,Fr,Code,Sig,Latitude,Longitude,GpsAge
5,271,15,38,23,8066,50,101,62.45787333,-143.3839067,1
5,271,15,38,24,8066,50,111,62.45804333,-143.38332,0
5,271,15,38,25,8066,50,112,62.45817833,-143.3826967,0
5,271,15,38,26,8066,50,103,62.45827833,-143.3820433,0
5,271,15,38,27,8066,50,103,62.45834333,-143.3813667,0
5,271,15,38,28,8066,50,104,62.45836667,-143.38068,0
5,271,15,38,29,8066,50,101,62.45834167,-143.3793167,0
5,271,15,38,31,8066,50,102,62.45834167,-143.3793167,2
5,271,15,38,32,8066,50,100,62.45829,-143.3786383,0
5,271,15,38,33,8066,50,84,62.45805667,-143.37737,1
5,271,15,38,36,8066,50,93,62.45751667,-143.3756617,1
5,271,15,38,38,8066,50,91,62.45704333,-143.3746917,1
5,271,15,38,39,8066,50,89,62.45678333,-143.3742683,1
5,271,15,38,40,8066,50,89,62.45651,-143.37389,0
5,271,15,38,41,8066,50,88,62.456225,-143.3735633,1
5,271,15,38,42,8066,50,87,62.45593167,-143.3732933,1
5,271,15,38,43,8066,50,88,62.45562833,-143.3730767,1
5,271,15,38,44,8066,50,86,62.45531833,-143.372915,1
5,271,15,38,45,8066,50,88,62.455005,-143.372805,1
5,271,15,38,46,8066,50,88,62.45468833,-143.372745,1
5,271,15,38,48,8066,50,84,62.45405,-143.372755,1
5,271,15,38,49,8066,50,81,62.45373,-143.3728183,1
5,271,15,45,15,8045,20,93,62.523135,-143.492575,1
5,271,15,45,16,8045,20,91,62.52338167,-143.4929967,1
5,271,15,45,16,8045,20,99,62.52338167,-143.4929967,1
5,271,15,45,19,8045,20,102,62.52390333,-143.4937317,1
5,271,15,45,20,8045,20,104,62.52418,-143.4940367,1
5,271,15,57,28,8405,200,84,62.62736833,-143.8199667,1
5,271,15,57,29,8405,200,84,62.62762167,-143.82033,1
5,271,15,57,30,8405,200,83,62.627885,-143.8206383,1
5,271,15,57,31,8405,200,84,62.62815833,-143.8208833,1
5,271,15,57,32,8405,200,86,62.62844,-143.8210533,1
5,271,15,57,34,8405,200,84,62.62902,-143.8211483,0
